,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"off the table (with The Weeknd)","Ariana Grande",1347377,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
55,"Tattoo - Remix with Camilo","Rauw Alejandro",1318557,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
56,Diamonds,"Sam Smith",1305758,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
57,"Don't Start Now","Dua Lipa",1301639,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
58,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1294797,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
59,"How You Like That",BLACKPINK,1291803,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
60,"I CAN'T STOP ME",TWICE,1281915,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
61,"Tyler Herro","Jack Harlow",1266075,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
62,"La Jeepeta - Remix","Nio Garcia",1265422,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
63,"death bed (coffee for your head)",Powfu,1255373,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
64,BICHOTA,"KAROL G",1250946,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
65,"Chica Ideal","Sebastian Yatra",1247533,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
66,"just like magic","Ariana Grande",1232412,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
67,"Mi Cuarto","Jerry Di",1231531,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
68,"Deep End",Fousheé,1205478,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
69,"Train Wreck","James Arthur",1204159,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
70,"Stuck with U (with Justin Bieber)","Ariana Grande",1196807,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
71,Circles,"Post Malone",1190519,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
72,"Blueberry Faygo","Lil Mosey",1177443,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
73,"Rain On Me (with Ariana Grande)","Lady Gaga",1169537,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
74,"lovely (with Khalid)","Billie Eilish",1167023,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
75,"Wishing Well","Juice WRLD",1164645,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
76,"Adore You","Harry Styles",1152553,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
77,"my ex's best friend (with blackbear)","Machine Gun Kelly",1136581,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
78,Memories,"Maroon 5",1130770,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
79,"SO DONE","The Kid LAROI",1127175,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
80,Caramelo,Ozuna,1117284,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
81,"Lucid Dreams","Juice WRLD",1114235,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
82,"safety net (feat. Ty Dolla $ign)","Ariana Grande",1105638,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
83,"Hawái - Remix",Maluma,1093977,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
84,Señorita,"Shawn Mendes",1089348,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
85,goosebumps,"Travis Scott",1089205,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
86,"Go Crazy","Chris Brown",1076996,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
87,"The Box","Roddy Ricch",1067802,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
88,"Mad at Disney","salem ilese",1047032,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
89,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1045941,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
90,Reloj,"Rauw Alejandro",1036940,https://open.spotify.com/track/7r9ZhitdQBONTFOiJW5mr8
91,Falling,"Trevor Daniel",1029662,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
92,MORE,K/DA,1026818,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
93,Robbery,"Juice WRLD",1025352,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
94,Fever,"Dua Lipa",1019336,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
95,"shut up","Ariana Grande",1008654,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
96,nasty,"Ariana Grande",999910,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
97,"Sweater Weather","The Neighbourhood",998169,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
98,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",993291,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
99,"If the World Was Ending - feat. Julia Michaels","JP Saxe",991408,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
100,"Tick Tock (feat. 24kGoldn)","Clean Bandit",987138,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
101,"Kings & Queens","Ava Max",986873,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
102,Shallow,"Lady Gaga",977984,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
103,"HIGHEST IN THE ROOM","Travis Scott",977578,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
104,Falling,"Harry Styles",970714,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
105,"Forever After All","Luke Combs",967057,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
106,"Intentions (feat. Quavo)","Justin Bieber",953767,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
107,"Break My Heart","Dua Lipa",952234,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
108,"bad guy","Billie Eilish",949744,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
109,"ily (i love you baby) (feat. Emilee)","Surf Mesa",946490,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
110,"my hair","Ariana Grande",930340,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
111,"Spicy (feat. Post Malone)","Ty Dolla $ign",929016,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
112,Tusa,"KAROL G",923687,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
113,"Pretty Savage",BLACKPINK,914343,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
114,"Say You Won't Let Go","James Arthur",911195,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
115,Azul,"J Balvin",910967,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
116,"Life Is Good (feat. Drake)",Future,910479,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
117,"six thirty","Ariana Grande",903933,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
118,Believer,"Imagine Dragons",902803,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
119,Dior,"Pop Smoke",895059,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
120,obvious,"Ariana Grande",894858,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
121,"Toosie Slide",Drake,893479,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
122,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",893295,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
123,Whoopty,CJ,891274,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
124,"Electric Love",BØRNS,890259,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
125,"Papi Chulo",Octavian,885633,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA
126,"SICKO MODE","Travis Scott",882957,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
127,"La Luz",Sech,864928,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
128,"Jocelyn Flores",XXXTENTACION,860458,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
129,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",860270,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
130,"7 rings","Ariana Grande",855106,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
131,"All Girls Are The Same","Juice WRLD",854162,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
